sequence_record_id,associated_pathogen_record_id,associated_rodent_record_id,study_id,host_genus,associatedTaxa,sequenceType,scientificName,accession_number,method,note,date_sampled,sample_location
443,11368,6743,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,OL677529,NA,NA,NA,NA
444,11548,6923,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,OL677530,NA,NA,NA,NA
445,11448,6823,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,OL677531,NA,NA,NA,NA
446,11448,6823,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,OL677532,NA,NA,NA,NA
447,11448,6823,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,OL677533,NA,NA,NA,NA
448,11448,6823,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,OL677534,NA,NA,NA,NA
449,11368,6743,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,ON239876,NA,NA,NA,NA
450,11441,6816,44,Dryomys,Dryomys nitedula,Pathogen,Orthohantavirus tulaense,ON239877,NA,NA,NA,NA
451,11441,6816,44,Dryomys,Dryomys nitedula,Pathogen,Orthohantavirus tulaense,ON239878,NA,NA,NA,NA
452,11368,6743,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,ON239879,NA,NA,NA,NA
453,11368,6743,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,ON239880,NA,NA,NA,NA
454,11368,6743,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,ON239881,NA,NA,NA,NA
455,11438,6813,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,ON239882,NA,NA,NA,NA
456,11438,6813,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,ON239883,NA,NA,NA,NA
457,11438,6813,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,ON239884,NA,NA,NA,NA
458,11438,6813,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,ON239885,NA,NA,NA,NA
459,11448,6823,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,ON239886,NA,NA,NA,NA
460,11448,6823,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,ON239887,NA,NA,NA,NA
461,11448,6823,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,ON239888,NA,NA,NA,NA
462,11448,6823,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,ON239889,NA,NA,NA,NA
463,11548,6923,44,Microtus,Microtus arvalis,Pathogen,Orthohantavirus tulaense,ON239890,NA,NA,NA,NA
464,NA,6816,44,Dryomys,Dryomys nitedula,Host,NA,ON513437,NA,NA,NA,NA
465,NA,6816,44,Dryomys,Dryomys nitedula,Host,NA,ON513438,NA,NA,NA,NA
466,NA,6743,44,Microtus,Microtus arvalis,Host,NA,ON513439,NA,NA,NA,NA
467,11590,6962,45,Suncus,Suncus murinus,Pathogen,Mammarenaviridae,KY659332,NA,NA,NA,NA
468,11588,6960,45,Rattus,Rattus norvegicus,Pathogen,Mammarenaviridae,KY659333,NA,NA,NA,NA
469,11588,6960,45,Rattus,Rattus norvegicus,Pathogen,Mammarenaviridae,KY659334,NA,NA,NA,NA
470,11588,6960,45,Rattus,Rattus norvegicus,Pathogen,Mammarenaviridae,KY659335,NA,NA,NA,NA
471,11588,6960,45,Rattus,Rattus norvegicus,Pathogen,Mammarenaviridae,KY659336,NA,NA,NA,NA
472,11588,6960,45,Rattus,Rattus norvegicus,Pathogen,Mammarenaviridae,KY659337,NA,NA,NA,NA
473,11588,6960,45,Rattus,Rattus norvegicus,Pathogen,Mammarenaviridae,KY659338,NA,NA,NA,NA
474,11588,6960,45,Rattus,Rattus norvegicus,Pathogen,Mammarenaviridae,KY659339,NA,NA,NA,NA
475,11588,6960,45,Rattus,Rattus norvegicus,Pathogen,Mammarenaviridae,KY659340,NA,NA,NA,NA
476,11588,6960,45,Rattus,Rattus norvegicus,Pathogen,Mammarenaviridae,KY659341,NA,NA,NA,NA
477,11588,6960,45,Rattus,Rattus norvegicus,Pathogen,Mammarenaviridae,KY659342,NA,NA,NA,NA
478,11588,6960,45,Rattus,Rattus norvegicus,Pathogen,Mammarenaviridae,KY659343,NA,NA,NA,NA
479,11588,6960,45,Rattus,Rattus norvegicus,Pathogen,Mammarenaviridae,KY659344,NA,NA,NA,NA
480,11588,6960,45,Rattus,Rattus norvegicus,Pathogen,Mammarenaviridae,KY659345,NA,NA,NA,NA
481,11588,6960,45,Rattus,Rattus norvegicus,Pathogen,Mammarenaviridae,KY659346,NA,NA,NA,NA
482,11587,6962,45,Suncus,Suncus murinus,Pathogen,Hantaviridae,KY659347,NA,NA,NA,NA
483,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659348,NA,NA,NA,NA
484,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659349,NA,NA,NA,NA
485,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659350,NA,NA,NA,NA
486,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659351,NA,NA,NA,NA
487,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659352,NA,NA,NA,NA
488,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659353,NA,NA,NA,NA
489,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659354,NA,NA,NA,NA
490,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659355,NA,NA,NA,NA
491,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659356,NA,NA,NA,NA
492,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659357,NA,NA,NA,NA
493,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659358,NA,NA,NA,NA
494,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659359,NA,NA,NA,NA
495,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659360,NA,NA,NA,NA
496,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659361,NA,NA,NA,NA
497,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659362,NA,NA,NA,NA
498,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659363,NA,NA,NA,NA
499,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659364,NA,NA,NA,NA
500,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659365,NA,NA,NA,NA
501,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659366,NA,NA,NA,NA
502,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659367,NA,NA,NA,NA
503,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659368,NA,NA,NA,NA
504,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659369,NA,NA,NA,NA
505,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659370,NA,NA,NA,NA
506,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659371,NA,NA,NA,NA
507,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659372,NA,NA,NA,NA
508,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659373,NA,NA,NA,NA
509,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659374,NA,NA,NA,NA
510,11585,6960,45,Rattus,Rattus norvegicus,Pathogen,Hantaviridae,KY659375,NA,NA,NA,NA
511,11612,6972,47,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus dobravaense,MN657233,NA,NA,NA,NA
512,11613,6973,47,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus dobravaense,MW151008,NA,NA,NA,NA
513,11612,6972,47,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus dobravaense,MW091492,NA,NA,NA,NA
514,11613,6973,47,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus dobravaense,MW091491,NA,NA,NA,NA
515,11612,6972,47,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus dobravaense,MW091493,NA,NA,NA,NA
516,11613,6973,47,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus dobravaense,MW091494,NA,NA,NA,NA
517,12986,7500,49,Oryzomys,Oryzomys texensis,Pathogen,Bayou Virus,GQ200820,NA,NA,NA,NA
518,13004,7518,49,Oryzomys,Oryzomys texensis,Pathogen,Bayou Virus,KX066103,NA,NA,NA,NA
519,13022,7536,49,Oryzomys,Oryzomys texensis,Pathogen,Bayou Virus,KX066104,NA,NA,NA,NA
520,13318,7448,49,Peromyscus,Peromyscus boylii,Pathogen,Limestone Canyon Virus,KX066105,NA,NA,NA,NA
521,13318,7448,49,Peromyscus,Peromyscus boylii,Pathogen,Limestone Canyon Virus,KX066106,NA,NA,NA,NA
522,13336,7466,49,Peromyscus,Peromyscus boylii,Pathogen,Limestone Canyon Virus,KX066107,NA,NA,NA,NA
523,13336,7466,49,Peromyscus,Peromyscus boylii,Pathogen,Limestone Canyon Virus,KX066108,NA,NA,NA,NA
524,13336,7466,49,Peromyscus,Peromyscus boylii,Pathogen,Limestone Canyon Virus,KX066109,NA,NA,NA,NA
525,13739,7485,49,Peromyscus,Peromyscus laceianaus,Pathogen,Sin Nombre Virus,KX066110,NA,NA,NA,NA
526,13737,7483,49,Peromyscus,Peromyscus attwateri,Pathogen,Sin Nombre Virus,KX066111,NA,NA,NA,NA
527,13737,7483,49,Peromyscus,Peromyscus attwateri,Pathogen,Sin Nombre Virus,KX066112,NA,NA,NA,NA
528,13737,7483,49,Peromyscus,Peromyscus attwateri,Pathogen,Sin Nombre Virus,KX066113,NA,NA,NA,NA
529,13737,7483,49,Peromyscus,Peromyscus attwateri,Pathogen,Sin Nombre Virus,KX066114,NA,NA,NA,NA
530,14037,7399,49,Sigmodon,Sigmodon hispidus,Pathogen,Muleshoe Virus,KX066123,NA,NA,NA,NA
531,14073,7435,49,Sigmodon,Sigmodon hispidus,Pathogen,Muleshoe Virus,KX066115,NA,NA,NA,NA
532,14073,7435,49,Sigmodon,Sigmodon hispidus,Pathogen,Muleshoe Virus,KX066116,NA,NA,NA,NA
533,14073,7435,49,Sigmodon,Sigmodon hispidus,Pathogen,Muleshoe Virus,KX066124,NA,NA,NA,NA
534,13665,7411,49,Peromyscus,Peromyscus attwateri,Pathogen,Sin Nombre Virus,KX066117,NA,NA,NA,NA
535,13668,7414,49,Peromyscus,Peromyscus leucopus,Pathogen,Sin Nombre Virus,KX066118,NA,NA,NA,NA
536,13668,7414,49,Peromyscus,Peromyscus leucopus,Pathogen,Sin Nombre Virus,KX066119,NA,NA,NA,NA
537,13668,7414,49,Peromyscus,Peromyscus leucopus,Pathogen,Sin Nombre Virus,KX066120,NA,NA,NA,NA
538,13669,7415,49,Reithrodontomys,Reithrodontomys fulvescens,Pathogen,Sin Nombre Virus,KX066121,NA,NA,NA,NA
539,13463,7209,49,Peromyscus,Peromyscus leucopus,Pathogen,Sin Nombre Virus,KX066122,NA,NA,NA,NA
540,13318,7448,49,Peromyscus,Peromyscus boylii,Host,NA,KX866981,NA,NA,NA,NA
541,14073,7435,49,Sigmodon,Sigmodon hispidus,Host,NA,KX866980,NA,NA,NA,NA
542,14742,7804,50,Rattus,Rattus norvegicus,Pathogen,Arenaviridae,MG736216,NA,NA,NA,NA
543,14742,7804,50,Rattus,Rattus norvegicus,Pathogen,Arenaviridae,MG736217,NA,NA,NA,NA
544,14794,7856,50,Rattus,Rattus tanezumi,Pathogen,Arenaviridae,MG736218,NA,NA,NA,NA
545,14794,7856,50,Rattus,Rattus tanezumi,Pathogen,Arenaviridae,MG736219,NA,NA,NA,NA
546,14802,7864,50,Tupaia,Tupaia belangeri,Pathogen,Arenaviridae,MG736220,NA,NA,NA,NA
547,14791,7853,50,Rattus,Rattus nitidus,Pathogen,Arenaviridae,MG736221,NA,NA,NA,NA
548,14792,7854,50,Rattus,Rattus norvegicus,Pathogen,Arenaviridae,MG736222,NA,NA,NA,NA
549,14792,7854,50,Rattus,Rattus norvegicus,Pathogen,Arenaviridae,MG736223,NA,NA,NA,NA
550,14794,7856,50,Rattus,Rattus tanezumi,Pathogen,Arenaviridae,MG736224,NA,NA,NA,NA
551,14794,7856,50,Rattus,Rattus tanezumi,Pathogen,Arenaviridae,MG736225,NA,NA,NA,NA
552,14792,7854,50,Rattus,Rattus norvegicus,Pathogen,Arenaviridae,MG736226,NA,NA,NA,NA
553,14794,7856,50,Rattus,Rattus tanezumi,Pathogen,Arenaviridae,MG736227,NA,NA,NA,NA
554,14794,7856,50,Rattus,Rattus tanezumi,Pathogen,Arenaviridae,MG736228,NA,NA,NA,NA
555,14792,7854,50,Rattus,Rattus norvegicus,Pathogen,Arenaviridae,MG736229,NA,NA,NA,NA
556,14792,7854,50,Rattus,Rattus norvegicus,Pathogen,Arenaviridae,MG736230,NA,NA,NA,NA
557,14742,7804,50,Rattus,Rattus norvegicus,Pathogen,Arenaviridae,MG736231,NA,NA,NA,NA
558,14792,7854,50,Rattus,Rattus norvegicus,Pathogen,Arenaviridae,MG736232,NA,NA,NA,NA
559,14792,7854,50,Rattus,Rattus norvegicus,Pathogen,Arenaviridae,MG736233,NA,NA,NA,NA
560,14742,7804,50,Rattus,Rattus norvegicus,Pathogen,Arenaviridae,MG736234,NA,NA,NA,NA
561,14742,7804,50,Rattus,Rattus norvegicus,Pathogen,Arenaviridae,MG736235,NA,NA,NA,NA
562,14794,7856,50,Rattus,Rattus tanezumi,Pathogen,Arenaviridae,MG736236,NA,NA,NA,NA
563,14617,7679,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192269,NA,NA,NA,NA
564,14617,7679,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192270,NA,NA,NA,NA
565,14617,7679,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192271,NA,NA,NA,NA
566,14617,7679,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192272,NA,NA,NA,NA
567,14617,7679,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192273,NA,NA,NA,NA
568,14617,7679,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192274,NA,NA,NA,NA
569,14617,7679,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192275,NA,NA,NA,NA
570,14617,7679,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192276,NA,NA,NA,NA
571,14617,7679,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192277,NA,NA,NA,NA
572,14617,7679,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192278,NA,NA,NA,NA
573,14617,7679,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192279,NA,NA,NA,NA
574,14617,7679,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192280,NA,NA,NA,NA
575,14617,7679,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192281,NA,NA,NA,NA
576,14617,7679,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192282,NA,NA,NA,NA
577,14617,7679,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192283,NA,NA,NA,NA
578,14617,7679,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192284,NA,NA,NA,NA
579,14792,7854,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192285,NA,NA,NA,NA
580,14792,7854,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192286,NA,NA,NA,NA
581,14792,7854,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192287,NA,NA,NA,NA
582,14792,7854,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192288,NA,NA,NA,NA
583,14792,7854,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192289,NA,NA,NA,NA
584,14792,7854,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192290,NA,NA,NA,NA
585,14792,7854,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192291,NA,NA,NA,NA
586,14792,7854,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192292,NA,NA,NA,NA
587,14792,7854,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK192293,NA,NA,NA,NA
588,14792,7854,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK177225,NA,NA,NA,NA
589,14792,7854,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK177226,NA,NA,NA,NA
590,14792,7854,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK177227,NA,NA,NA,NA
591,14792,7854,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK177228,NA,NA,NA,NA
592,14792,7854,50,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,MK177229,NA,NA,NA,NA
593,NA,NA,52,Mus,Mus musculus,Pathogen,Mammarenavirus wenzhouense,ON110130,NA,cannot allocate to sample location,NA,NA
594,NA,NA,52,Rattus,Rattus norvegicus,Pathogen,Mammarenavirus wenzhouense,ON110131,NA,cannot allocate to sample location,NA,NA
595,NA,NA,52,Rattus,Rattus flavipectus,Pathogen,Mammarenavirus wenzhouense,ON110132,NA,cannot allocate to sample location,NA,NA
596,NA,NA,52,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,ON110133,NA,cannot allocate to sample location,NA,NA
597,NA,NA,52,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,ON110134,NA,cannot allocate to sample location,NA,NA
598,NA,NA,52,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,ON110135,NA,cannot allocate to sample location,NA,NA
599,NA,NA,52,Niviventer,Niviventer confucianus,Pathogen,Orthohantavirus seoulense,ON110136,NA,cannot allocate to sample location,NA,NA
600,15191,8113,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340822,NA,NA,NA,NA
601,15191,8113,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340823,NA,NA,NA,NA
602,15191,8113,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340824,NA,NA,NA,NA
603,15191,8113,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340825,NA,NA,NA,NA
604,15191,8113,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340826,NA,NA,NA,NA
605,15191,8113,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340827,NA,NA,NA,NA
606,15191,8113,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340828,NA,NA,NA,NA
607,15191,8113,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340829,NA,NA,NA,NA
608,15191,8113,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340830,NA,NA,NA,NA
609,15223,8145,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340831,NA,NA,NA,NA
610,15223,8145,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340832,NA,NA,NA,NA
611,15223,8145,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340833,NA,NA,NA,NA
612,15223,8145,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340834,NA,NA,NA,NA
613,15223,8145,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340835,NA,NA,NA,NA
614,15223,8145,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340836,NA,NA,NA,NA
615,15223,8145,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340837,NA,NA,NA,NA
616,15223,8145,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340838,NA,NA,NA,NA
617,15223,8145,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340839,NA,NA,NA,NA
618,15223,8145,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340840,NA,NA,NA,NA
619,15255,8177,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340841,NA,NA,NA,NA
620,15255,8177,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340842,NA,NA,NA,NA
621,15255,8177,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340843,NA,NA,NA,NA
622,15255,8177,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340844,NA,NA,NA,NA
623,15255,8177,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340845,NA,NA,NA,NA
624,15255,8177,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340846,NA,NA,NA,NA
625,15255,8177,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340847,NA,NA,NA,NA
626,15255,8177,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340848,NA,NA,NA,NA
627,15279,8201,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340849,NA,NA,NA,NA
628,15279,8201,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340850,NA,NA,NA,NA
629,15279,8201,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340851,NA,NA,NA,NA
630,15279,8201,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340852,NA,NA,NA,NA
631,15343,8265,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340853,NA,NA,NA,NA
632,15343,8265,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340854,NA,NA,NA,NA
633,15343,8265,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340855,NA,NA,NA,NA
634,15343,8265,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340856,NA,NA,NA,NA
635,15343,8265,53,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus seoulense,MK340857,NA,NA,NA,NA
636,15369,8291,54,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,KT223834,NA,NA,NA,NA
637,15373,8295,54,Microtus,Microtus fortis,Pathogen,Orthohantavirus hantanense,KT213428,NA,NA,NA,NA
638,15372,8294,54,Clethrionomys,Clethrionomys rutilus,Pathogen,Orthohantavirus hantanense,KT223835,NA,NA,NA,NA
639,15372,8294,54,Clethrionomys,Clethrionomys rutilus,Pathogen,Orthohantavirus hantanense,KT213429,NA,NA,NA,NA
640,15369,8291,54,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,KT213430,NA,NA,NA,NA
641,15373,8295,54,Microtus,Microtus fortis,Pathogen,Orthohantavirus hantanense,KT213432,NA,NA,NA,NA
642,15373,8295,54,Microtus,Microtus fortis,Pathogen,Orthohantavirus hantanense,KT213433,NA,NA,NA,NA
643,15373,8295,54,Microtus,Microtus fortis,Pathogen,Orthohantavirus hantanense,KT213434,NA,NA,NA,NA
644,15373,8295,54,Microtus,Microtus fortis,Pathogen,Orthohantavirus hantanense,KT213435,NA,NA,NA,NA
645,15373,8295,54,Microtus,Microtus fortis,Pathogen,Orthohantavirus hantanense,KT213436,NA,NA,NA,NA
646,15372,8294,54,Clethrionomys,Clethrionomys rutilus,Pathogen,Orthohantavirus khabarovskense,KT213437,NA,NA,NA,NA
647,15373,8295,54,Microtus,Microtus fortis,Pathogen,Orthohantavirus hantanense,KT213431,NA,NA,NA,NA
648,15373,8295,54,Microtus,Microtus fortis,Pathogen,Orthohantavirus hantanense,KT213421,NA,NA,NA,NA
649,15372,8294,54,Clethrionomys,Clethrionomys rutilus,Pathogen,Orthohantavirus hantanense,KT213422,NA,NA,NA,NA
650,15373,8295,54,Microtus,Microtus fortis,Pathogen,Orthohantavirus hantanense,KT213424,NA,NA,NA,NA
651,15369,8291,54,Apodemus,Apodemus agrarius,Pathogen,Orthohantavirus hantanense,KT223836,NA,NA,NA,NA
652,15372,8294,54,Clethrionomys,Clethrionomys rutilus,Pathogen,Orthohantavirus hantanense,KT213425,NA,NA,NA,NA
653,15373,8295,54,Microtus,Microtus fortis,Pathogen,Orthohantavirus hantanense,KT213426,NA,NA,NA,NA
654,15373,8295,54,Microtus,Microtus fortis,Pathogen,Orthohantavirus hantanense,KT213427,NA,NA,NA,NA
655,15370,8292,54,Rattus,Rattus norvegicus,Pathogen,Orthohantavirus hantanense,KT213438,NA,NA,NA,NA
656,15375,8297,55,Rattus,Rattus argentiventer,Pathogen,Orthohantavirus seoulense,KP055755,NA,NA,NA,NA
657,23016,15933,56,Mus,Mus minutoides,Host,NA,OP764674,NA,NA,NA,NA
658,23016,15933,56,Mus,Mus minutoides,Pathogen,Ngerengere mammarenavirus,OP775654,NA,NA,NA,NA
659,23016,15933,56,Mus,Mus minutoides,Pathogen,Ngerengere mammarenavirus,OP775655,NA,NA,NA,NA
660,22741,15658,56,Mus,Mus minutoides,Host,NA,OP764675,NA,NA,NA,NA
661,22741,15658,56,Mus,Mus minutoides,Pathogen,Ngerengere mammarenavirus,OP775656,NA,NA,NA,NA
662,22741,15658,56,Mus,Mus minutoides,Pathogen,Ngerengere mammarenavirus,OP775657,NA,NA,NA,NA
663,20582,13499,56,Grammomys,Grammomys surdaster,Host,NA,OP764676,NA,NA,NA,NA
664,20582,13499,56,Grammomys,Grammomys surdaster,Host,NA,OK093493,NA,NA,NA,NA
665,20582,13499,56,Grammomys,Grammomys surdaster,Pathogen,Songea mammarenavirus,OP775658,NA,NA,NA,NA
666,20582,13499,56,Grammomys,Grammomys surdaster,Pathogen,Songea mammarenavirus,OP775659,NA,NA,NA,NA
667,15687,8604,56,Grammomys,Grammomys surdaster,Host,NA,OP764677,NA,NA,NA,NA
668,15687,8604,56,Grammomys,Grammomys surdaster,Host,NA,OK093736,NA,NA,NA,NA
669,15687,8604,56,Grammomys,Grammomys surdaster,Pathogen,Berega mammarenavirus,OP775660,NA,NA,NA,NA
670,15687,8604,56,Grammomys,Grammomys surdaster,Pathogen,Berega mammarenavirus,OP775661,NA,NA,NA,NA
671,25843,18706,62,Microtus,Microtus obscurus,Pathogen,Tula orthohantavirus,MH649272,NA,NA,NA,NA
672,25843,18706,62,Microtus,Microtus obscurus,Pathogen,Tula orthohantavirus,MH660702,NA,NA,NA,NA
673,25843,18706,62,Microtus,Microtus obscurus,Pathogen,Tula orthohantavirus,MH660704,NA,NA,NA,NA
674,25843,18706,62,Microtus,Microtus obscurus,Host,NA,MK107998,NA,NA,NA,NA
675,25843,18706,62,Microtus,Microtus obscurus,Host,NA,MK107999,NA,NA,NA,NA
676,25843,18706,62,Microtus,Microtus obscurus,Host,NA,MK108000,NA,NA,NA,NA
